"Station","year","TP","epar","secchi","chla","TPn","eparn","secchin","chlan"
"HB",2014,0.0170846153846154,0.853776918007777,2.10714285714286,9.67961300336398,13,13,14,13
"N",1972,0.074825,1.701,1.26666666666667,NA,20,20,21,0
"N",1973,0.0704166666666667,1.77083333333333,1.2375,NA,24,24,24,0
"N",1974,0.0661086956521739,1.73478260869565,1.17826086956522,NA,23,23,23,0
"N",1975,0.0776136363636364,2.06181818181818,0.927272727272727,NA,22,22,22,0
"N",1976,0.0587115384615385,2.03,1.06538461538462,NA,26,24,26,0
"N",1977,0.06858,1.94125,1.264,41.2217391304348,25,24,25,23
"N",1978,0.0431521739130435,1.51565217391304,1.20869565217391,27.9130434782609,23,23,23,23
"N",1979,0.0441363636363636,1.68190476190476,1.25,35.2681818181818,22,21,22,22
"N",1980,0.0431818181818182,1.64,1.08260869565217,30,22,20,23,21
"N",1981,0.0545909090909091,1.47842105263158,1.20909090909091,27.3681818181818,22,19,22,22
"N",1982,0.0512631578947368,1.6125,1.30869565217391,27.985,19,20,23,20
"N",1989,NA,1.8684,1.27727272727273,31.3341666666667,0,5,11,12
"N",1990,0.0345384615384615,1.46614285714286,1.21428571428571,24.9692857142857,13,14,14,14
"N",1991,0.0331538461538462,1.43807692307692,1.35384615384615,24.9923076923077,13,13,13,13
"N",1992,0.0336923076923077,1.47785714285714,1.21428571428571,28.3585714285714,13,14,14,14
"N",1993,0.0327692307692308,1.27475,1.30769230769231,23.0230769230769,13,12,13,13
"N",1994,0.034,1.46715384615385,1.27916666666667,25.9123076923077,12,13,12,13
"N",1995,0.0276923076923077,1.00384615384615,1.51923076923077,12.77,13,13,13,13
"N",1996,0.0298333333333333,0.925,2.4,8.89538461538462,12,13,13,13
"N",1997,0.0275384615384615,0.836846153846154,2.54615384615385,8.80769230769231,13,13,13,13
"N",1998,0.0352307692307692,0.979076923076923,2.15384615384615,10.4876923076923,13,13,13,13
"N",1999,0.0341538461538462,0.943384615384615,1.84615384615385,7.43538461538462,13,13,13,13
"N",2000,0.0341666666666667,0.828846153846154,2.42307692307692,7.98923076923077,12,13,13,13
"N",2001,0.0373846153846154,0.933692307692308,1.81153846153846,11.37,13,13,13,13
"N",2002,0.0306153846153846,0.893849,2.15384615384615,9.95316329807692,13,13,13,13
"N",2003,0.0336666666666667,0.822305692307692,1.78846153846154,12.7312472115385,12,13,13,13
"N",2004,0.0310833333333333,0.938662538461538,2.03846153846154,9.37890301923077,12,13,13,13
"N",2005,0.0358461538461538,1.17084023076923,1.75769230769231,16.5334615384615,13,13,13,13
"N",2006,0.03375,1.12192307692308,1.58461538461538,16.4323076923077,12,13,13,13
"N",2007,0.0302307692307692,1.10523076923077,1.76923076923077,14.6553846153846,13,13,13,13
"N",2008,0.0283846153846154,0.979307692307692,1.67692307692308,10.9084615384615,13,13,13,13
"N",2009,0.0251538461538462,NA,2.13461538461538,NA,13,0,13,0
"N",2010,0.0285,1.0026584835,1.90384615384615,14.025,12,2,13,2
"N",2011,0.0288461538461538,1.368887236,2,14.5415384615385,13,1,13,13
"N",2012,0.0383076923076923,NA,1.85714285714286,18.8164285714286,13,0,14,14
"N",2013,0.0222727272727273,NA,2.05769230769231,11.3391666666667,11,0,13,12
"N",2014,0.0525,0.83921538407986,2.26785714285714,6.95418504568247,13,13,14,13
